"";"SetPointId";"ServingTeamName";"ReceivingTeamName";"WinningTeamServingCode";"ServingRotation";"ReceivingRotation";"ServingPlayerId";"GameStageDetail";"RatingService";"MarkovCoefLastTouchSideout";"M1_A_S";"M2_A_S";"M3_A_S"
"4850";"S129213_1H22V18";"Ceske Budejovice";"Praha";"R";5;6;4433;"RegularGame";35,5975274025974;0,4157516;0;-35,5975274025974;22,8273125974026
"4851";"S129213_1H23V21";"Ceske Budejovice";"Praha";"S";4;5;4432;"LeadingInTightEndgame";34,4074596598639;0;100;65,5925403401361;65,5925403401361
"4852";"S129213_2H0V0";"Praha";"Ceske Budejovice";"S";1;1;4459;"RegularGame";34,3381759268929;0;100;65,6618240731071;65,6618240731071
"4853";"S129213_2H0V1";"Praha";"Ceske Budejovice";"S";1;1;4459;"RegularGame";34,3381759268929;0,3411598;100;65,6618240731071;31,5458440731071
"4854";"S129213_2H0V2";"Praha";"Ceske Budejovice";"R";1;1;4459;"RegularGame";34,3381759268929;1;0;-34,3381759268929;-34,3381759268929
"4855";"S129213_2H1V2";"Ceske Budejovice";"Praha";"R";6;1;4431;"RegularGame";38,4911839726027;1;0;-38,4911839726027;-38,4911839726027
"4856";"S129213_2H2V3";"Ceske Budejovice";"Praha";"S";5;6;4433;"RegularGame";35,5975274025974;0,2025275;100;64,4024725974026;44,1497225974026
"4857";"S129213_2H3V3";"Ceske Budejovice";"Praha";"R";5;6;4433;"RegularGame";35,5975274025974;1;0;-35,5975274025974;-35,5975274025974
"4858";"S129213_2H4V4";"Ceske Budejovice";"Praha";"R";4;5;4432;"RegularGame";34,4074596598639;0,4850044;0;-34,4074596598639;17,0921003401361
"4859";"S129213_2H4V5";"Praha";"Ceske Budejovice";"R";4;4;4525;"RegularGame";38,5759974166667;0,575266;0;-38,5759974166667;3,8974025833333
"4860";"S129213_2H6V7";"Praha";"Ceske Budejovice";"R";2;2;4523;"RegularGame";32,8783827433628;1;0;-32,8783827433628;-32,8783827433628
