"";"SetPointId";"ServingTeamName";"ReceivingTeamName";"WinningTeamServingCode";"ServingRotation";"ReceivingRotation";"ServingPlayerId";"GameStageDetail";"RatingService";"MarkovCoefLastTouchSideout"
"6594";"S129218_3H2V1";"Ceske Budejovice";"Beskydy";"R";5;6;4433;"RegularGame";35,5975274025974;1
"6595";"S129218_3H3V2";"Ceske Budejovice";"Beskydy";"R";4;5;4467;"RegularGame";38,0583704907975;1
"6596";"S129218_3H4V2";"Beskydy";"Ceske Budejovice";"R";4;4;4490;"RegularGame";36,1858059302325;1
"6597";"S129218_3H4V3";"Ceske Budejovice";"Beskydy";"R";3;4;4516;"RegularGame";34,4600513422819;NA
"6598";"S129218_3H5V3";"Beskydy";"Ceske Budejovice";"R";3;3;4539;"RegularGame";31,345942293578;1
"6599";"S129218_3H5V4";"Ceske Budejovice";"Beskydy";"R";2;3;4472;"RegularGame";33,3739872027972;0,2142572
"6600";"S129218_3H6V5";"Ceske Budejovice";"Beskydy";"R";1;2;4473;"RegularGame";37,1341118122977;0,3776303
"6601";"S129218_3H7V5";"Beskydy";"Ceske Budejovice";"S";1;1;4494;"RegularGame";29,5360655084746;0
"6602";"S129218_3H8V5";"Beskydy";"Ceske Budejovice";"R";1;1;4494;"RegularGame";29,5360655084746;1
"6603";"S129218_3H8V6";"Ceske Budejovice";"Beskydy";"S";6;1;4431;"RegularGame";38,4911839726027;0
"6604";"S129218_3H8V7";"Ceske Budejovice";"Beskydy";"R";6;1;4431;"RegularGame";38,4911839726027;NA
"6605";"S129218_3H9V7";"Beskydy";"Ceske Budejovice";"R";6;6;4538;"RegularGame";32,6362573151751;NA
"6606";"S129218_3H9V8";"Ceske Budejovice";"Beskydy";"R";5;6;4433;"RegularGame";35,5975274025974;1
"6607";"S129218_3H11V9";"Ceske Budejovice";"Beskydy";"R";4;5;4432;"RegularGame";34,4074596598639;0,557645
"6608";"S129218_3H12V9";"Beskydy";"Ceske Budejovice";"R";4;4;4490;"RegularGame";36,1858059302325;NA
"6609";"S129218_3H12V10";"Ceske Budejovice";"Beskydy";"S";3;4;4516;"RegularGame";34,4600513422819;0
"6610";"S129218_3H12V11";"Ceske Budejovice";"Beskydy";"R";3;4;4516;"RegularGame";34,4600513422819;NA
"6611";"S129218_3H13V11";"Beskydy";"Ceske Budejovice";"R";3;3;4539;"RegularGame";31,345942293578;1
"6612";"S129218_3H13V12";"Ceske Budejovice";"Beskydy";"R";2;3;4472;"RegularGame";33,3739872027972;1
"6613";"S129218_3H14V13";"Ceske Budejovice";"Beskydy";"R";1;2;4473;"RegularGame";37,1341118122977;1
